review_id,emp_id,review_year,review_quarter,rating,reviewer_id
1,3,2022,4,4.8,2
2,4,2022,4,4.5,2
3,5,2022,4,3.2,2
4,6,2022,4,4.6,2
5,7,2022,4,3.8,2
6,8,2022,4,3.5,2
7,10,2022,4,4.9,9
8,11,2022,4,3.6,9
9,12,2022,4,4.4,9
10,13,2022,4,3.1,9
11,14,2022,4,4.2,9
12,15,2022,4,3.9,9
13,3,2023,4,4.9,2
14,4,2023,4,4.6,2
15,5,2023,4,3.5,2
16,6,2023,4,4.8,2
17,7,2023,4,3.7,2
18,8,2023,4,3.3,2
19,10,2023,4,5.0,9
20,11,2023,4,3.4,9
21,12,2023,4,4.5,9
22,13,2023,4,3.0,9
23,14,2023,4,4.1,9
24,15,2023,4,4.0,9
25,16,2023,4,3.8,9
26,17,2023,4,2.9,9
27,18,2023,4,4.3,9
28,19,2023,4,3.6,9
29,22,2022,4,4.7,21
30,23,2022,4,4.5,21
31,24,2022,4,3.8,22
32,25,2022,4,3.6,22
33,26,2022,4,4.2,23
34,27,2022,4,3.9,23
35,28,2022,4,4.0,23
36,22,2023,4,4.8,21
37,23,2023,4,4.6,21
38,24,2023,4,4.0,22
39,25,2023,4,3.7,22
40,26,2023,4,4.3,23
41,27,2023,4,4.0,23
42,28,2023,4,4.1,23
43,29,2023,4,3.5,21
44,30,2023,4,3.3,29
45,32,2022,4,4.6,31
46,33,2022,4,4.4,31
47,34,2022,4,3.9,32
48,35,2022,4,3.7,32
49,36,2022,4,3.5,32
50,37,2022,4,3.3,32
51,38,2022,4,3.8,33
52,39,2022,4,3.6,33
53,40,2022,4,3.4,33
54,32,2023,4,4.7,31
55,33,2023,4,4.5,31
56,34,2023,4,4.0,32
57,35,2023,4,3.8,32
58,36,2023,4,3.6,32
59,37,2023,4,3.4,32
60,38,2023,4,3.9,33
61,39,2023,4,3.7,33
62,40,2023,4,3.5,33
63,41,2023,4,3.3,33
64,42,2023,4,4.1,33
65,43,2023,4,3.2,33
66,48,2022,4,4.5,47
67,49,2022,4,4.3,47
68,50,2022,4,3.6,48
69,51,2022,4,3.4,48
70,52,2022,4,3.8,49
71,53,2022,4,3.6,49
72,48,2023,4,4.6,47
73,49,2023,4,4.4,47
74,50,2023,4,3.7,48
75,51,2023,4,3.5,48
76,88,2022,4,4.9,87
77,89,2022,4,4.7,87
78,90,2022,4,4.5,88
79,91,2022,4,4.3,88
80,92,2022,4,3.8,89
81,93,2022,4,3.6,89
82,88,2023,4,5.0,87
83,89,2023,4,4.8,87
84,90,2023,4,4.7,88
85,91,2023,4,4.5,88
86,92,2023,4,4.0,89
87,93,2023,4,3.8,89
88,94,2023,4,4.6,88
89,95,2023,4,4.4,88
90,96,2023,4,3.9,89
91,97,2023,4,3.7,89
92,98,2023,4,4.8,87
